Cue,Growth Factor,Inhibitor,Experiment,Cell Viability in Comparison to Media Alone (24 Hr),Cell Viability in Comparison to Media Alone (StErr),p-AKT(S473)[15m],p-S6RIBPROT(S240/244)[15m],p-EGFR(Y1086)[05m],p-EGFR(Y1086)[15m],p-CDK2(T160)[15m],p-AKT(S473)[05m],p-STAT1(Y701)[05m],p-CDK2(T160)[05m],p-PDK1(S241)[15m],p-PKCPAN/G(T514)[05m],p-RAF(C-)(S338)[15m],p-PKCPAN/G(T514)[15m],p-PLCG2(Y759)[05m],p-PLCG2(Y759)[15m],p-P38MAPK(T180/Y182)[00m],p-EGFR(Y1068)[15m],p-RAF(C-)(S338)[05m],p-EGFR(Y845)[05m],p-MEK(1/2)(S217/221)[00m],p-GAB2(S159)[15m],p-MET(Y1234/1235)[05m],p-STAT1(Y701)[15m],p-GAB2(S159)[05m],p-PDK1(S241)[05m],p-EGFR(Y1068)[05m],p-ERK(T202/Y204)[05m],p-PDFGRA(Y849)[15m],p-EGFR(Y1173)[05m],p-FGFR1(Y653/654)[05m],p-PDFGRA(Y849)[05m],p-FAK(Y576/577)[15m],p-PLCG1(Y783)[05m],p-EGFR(Y845)[15m],p-PLCG1(Y783)[15m],p-GSK3A(S21)[05m],p-FOXO1(S319)[00m],p-MET(Y1234/1235)[15m],p-IGF1RB (Y1135/1136) [05m],p-PYK2(Y402)[05m],p-ERK(T202/Y204)[00m],p-KIT(C-)(Y719)[05m],p-STAT6(Y641)[15m],p-STAT6(Y641)[05m],p-MEK(1/2)(S217/221)[15m],p-PKCD(T505)[15m],p-SRC(Y416)[05m],p-EGFR(Y1173)[15m],p-S6RIBPROT(S240/244)[05m],p-FGFR1(Y653/654)[15m],p-GAB1(Y627)[00m],p-P38MAPK(T180/Y182)[05m],p-FOXO3A(S253)[05m],p-SAPK/JNK(T183/Y185)[00m],p-RAF(C-)(S259)[15m],p-SHP2(Y542)[05m],p-IGF1RB (Y1135/1136) [15m],p-CDK2(T160)[00m],p-PDGFRB(Y1009)[05m],p-FOXO3A(S253)[15m],p-KIT(C-)(Y719)[00m],p-FAK(Y576/577)[05m],p-IGF1RB (Y1135/1136) [00m],p-KIT(C-)(Y719)[15m],p-RAF(C-)(S259)[05m],p-ERBB4(Y1284)[15m],p-4EBP1(S65)[05m],p-MET(Y1349)[00m],p-ERBB4(Y1284)[05m],p-SYK(Y525/526)[05m],p-STAT3(Y705)[15m],p-SHP2(Y542)[15m],p-PKCD(T505)[05m],p-ERBB2(Y1221/1222)[05m],p-PTEN(S380)[00m],p-PDGFRB(Y1009)[00m],p-SRC(Y416)[15m],p-ZAP70(Y319)/SYK(Y352)[15m],p-FOXO1(S319)[05m],p-STAT1(Y701)[00m],p-MET(Y1349)[15m],p-GSK3A(S21)[15m],p-4EBP1(T37/46)[00m],p-STAT5(Y694)[05m],p-P70S6K(T421/S424)[05m],p-SYK(Y525/526)[00m],p-P70S6K(T421/S424)[00m],p-CRKII(Y221)[05m],p-SRC(Y416)[00m],p-CRKL(Y207)[00m],p-STAT5(Y694)[00m],p-FGFR1(Y653/654)[00m],p-P90RSK(S380)[15m],p-STAT3(Y705)[00m],p-4EBP1(S65)[00m],p-ERBB4(Y1284)[00m],p-CREB(S133)[05m],p-IRS1(S1101)[00m],p-JAK1(Y1022/1023)[00m],p-P90RSK(S380)[05m],p-SYK(Y525/526)[15m],p-PLCG1(Y783)[00m],p-CDC2(Y15)[05m],p-P90RSK(S380)[00m],p-PI3KP85(Y458)P55(Y199)[00m],p-CRKII(Y221)[00m],p-CRKII(Y221)[15m],p-GAB2(S159)[00m],p-SHC(Y239/240)[05m],p-SRC(Y527)[00m],p-IRS1(S1101)[05m],p-S6RIBPROT(S240/244)[00m],p-PYK2(Y402)[15m],p-ABL(C-)(Y245)[00m],p-PDGFRA(Y754)[15m],p-EGFR(Y1173)[00m],p-EGFR(Y845)[00m],p-ZAP70(Y319)/SYK(Y352)[05m],p-PTEN(S380)[15m],p-CREB(S133)[00m],p-SHP2(Y542)[00m],p-FOXO1(S319)[15m],p-PDGFRA(Y754)[05m],p-MTOR(S2448)[00m],p-ERBB2(Y1221/1222)[15m],p-PLCG2(Y759)[00m],p-PDGFRB(Y1009)[15m],p-FAK(Y576/577)[00m],p-GSK3A(S21)[00m],p-STAT3(S727)[05m],p-4EBP1(T37/46)[15m],p-PDGFRA(Y754)[00m],p-P38MAPK(T180/Y182)[15m],p-PKCPAN/G(T514)[00m],p-ZAP70(Y319)/SYK(Y352)[00m],p-ERK(T202/Y204)[15m],p-MET(Y1234/1235)[00m],p-MEK(1/2)(S217/221)[05m],p-RAF(C-)(S338)[00m],p-SAPK/JNK(T183/Y185)[15m],p-STAT3(S727)[00m],p-P70S6K(T421/S424)[15m],p-PDK1(S241)[00m],p-STAT3(S727)[15m],p-PTEN(S380)[05m],p-EGFR(Y1068)[00m],p-EGFR(Y1086)[00m],p-IRS1(S1101)[15m],p-PKCD(T505)[00m],p-PYK2(Y402)[00m],p-STAT3(Y705)[05m],p-4EBP1(T37/46)[05m],p-GAB1(Y627)[15m],p-CDC2(Y15)[00m],p-SHC(Y239/240)[00m],p-FOXO3A(S253)[00m],p-ERBB2(Y1221/1222)[00m],p-GAB1(Y627)[05m],p-AKT(S473)[00m],p-SRC(Y527)[15m],p-ABL(C-)(Y245)[15m],p-CRKL(Y207)[05m],p-4EBP1(S65)[15m],p-RAF(C-)(S259)[00m],p-SHC(Y239/240)[15m],p-JAK1(Y1022/1023)[05m],p-PDFGRA(Y849)[00m],p-MET(Y1349)[05m],p-SRC(Y527)[05m],p-SAPK/JNK(T183/Y185)[05m],p-MTOR(S2448)[05m],p-ABL(C-)(Y245)[05m],p-STAT6(Y641)[00m],p-PI3KP85(Y458)P55(Y199)[15m],p-JAK1(Y1022/1023)[15m],p-CRKL(Y207)[15m],p-STAT5(Y694)[15m],p-CDC2(Y15)[15m],p-CREB(S133)[15m],p-PI3KP85(Y458)P55(Y199)[05m],p-MTOR(S2448)[15m]
Media  X5,Media,, X5,1,0.1515,0.0598,0.1444,0.2925,0.5717,0,-0.1189,0.1091,0,0.4779,0.0267,0.7281,-0.1252,0.1269,0.2169,-0.0207,0.4577,0.7635,-0.1013,-0.0846,0.1879,0.1907,0.5405,0.1989,0.3919,0.3582,0.6413,0.4788,0.1487,-0.0063,0.4886,0.4683,-0.0846,0.232,-0.0101,0.3505,0,0.2991,0.3523,0.2337,0.0271,-0.1205,0.5029,0.3226,-0.2078,0.5247,0.0463,0.0603,0.0351,0.2277,-0.1719,0.3119,0.3301,-0.0832,0.5038,0.0498,0.5039,0,0.0235,0.2203,-0.1694,0.2589,0.2117,0.1194,0.5261,0.3994,0.1934,0.0776,0.3283,0.1721,0.1847,0.3007,0.3473,0.3508,-0.1434,-0.1326,0.0326,0.4017,0,-0.0693,0.0967,0.3483,-0.1345,-0.0145,0.0498,0.0803,-0.2005,0.445,-0.026,-0.1514,-0.088,-0.1986,0.2622,-0.1785,-0.0227,0.0959,-0.0416,0.0213,0.0629,-0.0097,0.259,-0.1556,0.3499,-0.1722,-0.1291,0.0492,0.5311,0.0152,0.3206,-0.0965,0.229,-0.0624,0.3363,0.0908,0.3777,0.0056,0.0277,0.3775,-0.1082,-0.149,-0.1093,0,0.2819,0.0804,0.4521,0.052,0.0466,-0.0058,0.1194,0.2051,0.274,-0.0123,0.2848,-0.0994,0.1251,0.3095,0.0656,0.2485,0.4253,0.0285,0.0883,0.0394,0.1688,0.0673,-0.1396,0.1343,0.1727,0.3624,0.0683,0.1218,0.2213,-0.0397,0.048,0.0843,0.1224,0.0223,0.1246,0.0598,-0.2635,-0.0472,0.3815,0.0001,0.2482,0.3018,0.2095,0.3935,0.1093,0.1474,-0.0868,0.1002,0.3085,0.3005,0.174,-0.0944,0.4078,-0.0739,0.2654,0.4275,-0.0031,-0.2202,0.308
EGF200  X5,EGF200,, X5,0.2936,0.0181,-0.0669,0.2332,1.8407,2.0036,0,0.0722,1.3235,0,0.4032,-0.0299,0.7968,-0.3661,1.1065,1.126,-0.0207,1.2522,0.8883,0.6796,-0.0846,0.2917,0.9506,1.3539,0.1426,0.4624,1.108,0.9183,1.3097,1.0434,0.8009,1.4044,1.117,0.5184,0.5836,0.4833,0.5015,0,0.9073,0.7903,0.9148,0.0271,0.6794,1.4304,1.3218,-0.0405,0.5787,0.7618,0.7746,0.1255,0.9473,-0.1719,0.4618,0.378,-0.0832,0.4841,0.9787,0.7769,0,0.3232,0.1815,-0.1694,0.985,0.2117,0.7463,0.4894,0.6313,0.0984,0.0776,0.6168,0.981,0.6812,1.1373,0.6695,1.0395,-0.1434,-0.1326,0.8348,0.9933,0,-0.0693,0.5277,0.4869,-0.1345,0.7237,0.1922,0.0803,-0.2005,0.6328,-0.026,-0.1514,-0.088,-0.1986,0.2682,-0.1785,-0.0227,0.0959,0.1328,0.0213,0.0629,0.2485,0.814,-0.1556,0.5338,-0.1722,-0.1291,0.0492,0.7742,0.0152,0.3122,-0.0965,0.2184,-0.0624,0.7764,0.0908,0.7309,0.0056,0.0277,0.852,-0.1752,-0.149,-0.1093,0,0.6671,0.0804,1.0748,0.052,0.4408,-0.0058,0.1194,0.1989,0.2076,-0.0123,0.5561,-0.0994,0.1251,0.7377,0.0656,0.4436,0.4253,0.1158,0.0883,-0.2529,0.1688,0.0913,-0.0247,0.1343,0.1727,0.2685,0.0683,0.1218,0.6867,0.0667,0.4652,0.0843,0.1224,0.0223,0.1246,0.4472,-0.2635,-0.1027,0.5036,0.1674,0.5699,0.3018,0.1974,0.8665,0.1093,0.5486,0.0219,0.2072,0.3008,0.482,0.174,0.0577,0.9804,0.053,0.9549,0.6633,-0.0006,0.1077,0.3194
EGF200 DPI X5,EGF200,DPI,DPI X5,0.2635,0.0377,0.1081,0.2592,1.8566,1.9556,0,0.1247,1.3698,0,0.3321,0.028,0.7835,-0.2246,1.1428,1.1567,0.1057,1.2779,0.886,0.6597,-0.1603,0.1939,1.0347,1.4615,0.1666,0.4737,1.1253,0.9827,1.2925,1.073,0.9686,1.4577,1.1267,0.5693,0.6595,0.5379,0.5582,0,0.9705,0.807,0.9361,0.1732,0.8574,1.3858,1.3652,0.1593,0.5502,0.9202,0.8932,0.3139,0.9987,-0.112,0.5303,0.3907,-0.1368,0.5109,1.0907,0.7533,0,0.3627,0.3429,-0.2812,1.0528,0.3007,0.8563,0.4976,0.757,0.2261,0.1279,0.6528,0.9884,0.807,1.1527,0.6765,1.0358,-0.151,-0.0724,0.8832,1.1371,0,-0.0778,0.5834,0.518,-0.1849,0.8713,0.2293,0.0839,-0.2273,0.7573,-0.0549,-0.1987,-0.0973,-0.1995,0.2766,-0.0374,-0.0973,0.1779,0.2401,0.0966,0.2711,0.3446,0.8597,-0.1543,0.5828,-0.1852,-0.2482,0.1501,0.7145,0.0393,0.2624,-0.179,0.2668,-0.2568,0.8144,0.1901,0.8171,0.0186,-0.0296,0.9259,0.0166,-0.2099,-0.1368,0,0.7078,0.153,1.0049,0.0068,0.4804,0.0359,0.212,0.2218,0.3195,0.0817,0.3978,0.0049,0.2178,0.8192,-0.0853,0.5698,0.5891,0.296,0.1876,-0.2788,0.2938,0.1908,0.0424,0.3018,0.2632,0.3341,0.1541,0.0806,0.7791,0.2551,0.5013,0.1014,0.2413,0.1996,0.245,0.5516,-0.295,0.0604,0.4651,0.3098,0.6307,0.4071,0.312,0.9558,0.2468,0.5975,0.101,0.1978,0.3472,0.6075,0.247,0.0785,1.0731,0.204,0.8466,0.6212,0.1334,0.1853,0.3996
EGF200 Clostridium Toxin B X5,EGF200,Clostridium Toxin B,Clostridium Toxin B X5,0.1526,0.0385,0.1327,0.1335,1.591,1.8588,0,0.0124,1.1783,0,0.3032,-0.125,0.8067,-0.2467,0.8607,0.9721,-0.186,1.1099,0.8051,0.6275,-0.1204,0.1919,0.9043,1.054,0.1793,0.3754,0.9625,0.8323,1.2498,0.7789,0.7121,1.4467,1.1344,0.3976,0.5179,0.3984,0.3478,0,0.8283,0.6359,0.818,0.0641,0.6744,1.2383,1.1699,0.0375,0.4662,0.6748,0.6917,-0.061,0.8026,-0.2102,0.0732,0.2772,-0.1291,0.5089,0.8912,0.6513,0,0.2798,0.3535,-0.2724,1.0242,0.152,0.654,0.4166,0.7173,-0.2104,0.0559,0.6561,0.8737,0.8699,1.0666,0.5418,0.8108,-0.1479,-0.2463,0.7019,1.2026,0,-0.0979,0.6385,0.4417,-0.2491,0.6272,0.1501,0.2514,-0.1953,0.6272,0.0243,-0.1993,-0.088,-0.2025,0.1669,-0.0116,-0.1266,0.1903,0.0219,0.0913,0.1169,0.1741,0.7273,-0.302,0.4162,-0.1264,-0.2067,0.0718,0.552,0.0351,0.217,-0.1171,0.2378,-0.0985,0.6973,0.0869,0.7387,0.0343,-0.0177,0.9111,-0.0652,-0.2825,-0.2399,0,0.4361,0.1053,0.8635,-0.0997,0.4061,0.0618,0.1357,0.1436,0.2064,0.0337,0.1583,-0.0983,0.1979,0.7509,-0.0959,0.3267,0.4177,0.0762,0.0981,-0.1567,0.1987,0.1113,-0.1058,0.2325,0.1301,0.2553,0.0802,0.1752,0.7242,0.1745,0.323,0.0763,0.1787,0.2339,0.1863,0.2389,-0.3218,-0.0804,0.3682,0.0573,0.3922,0.2855,0.334,0.8725,0.1997,0.5224,-0.0109,0.1487,0.268,0.3238,0.1444,-0.0165,1.0423,-0.0047,0.5764,0.5001,-0.0608,0.0235,0.4284
EGF200 PHPS2 X5,EGF200,PHPS2,PHPS2 X5,0.045,0.0698,0.2944,0.3107,1.8446,2.118,0,0.2384,1.5521,0,0.4798,-0.059,0.767,-0.1167,1.0576,1.2927,-0.0724,1.3237,0.6146,0.6736,-0.1847,0.1083,1.0011,1.4638,0.0871,0.3741,1.0427,0.8481,1.0114,0.8372,0.9958,1.2843,1.0434,0.506,0.7559,0.6839,0.4507,0,1.135,0.6834,0.9721,0.1266,0.7662,1.5894,1.3228,0.3129,0.7491,0.9494,1.0525,0.3872,1.2095,-0.0642,0.3448,0.1686,-0.085,0.4449,1.155,0.8993,0,0.4363,0.3535,-0.2425,0.9453,0.2703,1.0008,0.2689,0.6498,0.3138,0.1084,0.5697,0.9103,0.796,1.3423,0.57,1.005,-0.1533,-0.0527,1.0372,1.0597,0,-0.0536,0.5813,0.6012,-0.1827,0.9683,0.0809,0.2764,-0.0578,0.6578,0.086,-0.168,-0.0817,-0.1592,0.4128,0.1134,-0.0162,0.3047,0.1407,0.1248,0.4466,0.3123,1.0685,-0.0795,0.4678,-0.1374,-0.264,0.2669,0.8428,0.0574,0.1434,-0.1156,0.2025,-0.1082,0.9312,0.1675,0.9214,0.1024,0.0345,0.7531,0.0623,-0.2541,-0.076,0,0.5864,0.1773,1.1356,-0.0157,0.67,0.2998,0.2332,0.0714,0.4767,0.1966,0.4238,-0.0534,0.2755,0.9219,0.0471,0.4348,0.4386,0.3513,0.1198,0.1885,0.3585,0.0956,-0.0531,0.3593,0.3013,0.2653,0.2103,0.1261,0.6514,0.2654,0.6482,0.2044,0.2349,0.2592,0.3238,0.342,-0.2333,0.094,0.469,0.1363,0.8282,0.314,0.1839,0.8981,0.3763,0.4264,0.0135,0.3374,0.2548,0.3523,0.2425,0.2057,0.9133,0.1341,1.0863,0.7123,0.0529,0.1196,0.4661
Media  X6,Media,, X6,1,0.0417,0.6315,0.9222,0.2365,0.3655,1.0152,0.6864,0.0441,1.1304,0.5319,0.6652,0.4567,0.4405,0.1986,0.149,0.2221,0.1413,0.5746,0.2914,-0.1324,0.248,0.2333,-0.0571,0.2591,0.474,0.142,0.2449,0.1983,0.2621,0.3795,0.1734,0.4781,-0.0427,0.1593,0.0734,0.2393,-0.0957,0.302,0.1865,0.1388,-0.1958,0.0161,0.4149,0.3958,-0.0036,0.4009,0.3034,0.3293,0.5168,0.4038,-0.0324,0.7342,0.5011,-0.0927,0.3682,0.344,0.1261,1.0483,0.1566,0.4977,-0.0228,0.4761,-0.0558,0.0464,0.4283,-0.0583,0,0.0157,0.0463,0.1185,0.1221,0.3306,0.4464,0.4558,-0.0607,0.0927,0.3458,0.2143,-0.0676,0.0687,-0.0602,0.1513,0.1272,0.2414,0.449,0.0517,0.1073,0.3403,0.1577,0.1761,0.0285,0.3215,-0.0203,0.0771,0,-0.0479,0.5357,0.0744,-0.0117,0.1041,0.2111,-0.0013,0.2361,-0.023,0.0792,0.1134,0.305,0.1621,0.0034,0.1293,0.1051,0.3227,0.3163,0.1143,0.224,0.2519,0.2968,0.262,0.0846,0.2103,0.2263,-0.0203,0.3082,0.1159,0.7712,0.1559,0.5146,0.2689,0.1502,0.2089,0.1055,0.0023,0.7531,0.4649,0.0844,-0.07,0.2117,0.2472,0.3256,-0.3227,0.0275,0.1536,0.2481,0.1997,0.0501,0.0795,0.1503,0.0765,0.0188,0.1284,0.0669,0.1463,0.0974,0.1064,0.081,0.3285,0.5409,0.0977,0.4431,0.1705,0.2025,0.3753,0,0.2648,0.02,-0.1899,0.0435,-0.0081,0.2411,-0.0869,0.3351,0.2435,0.1761,0.4683,0.0905,0.3559,0.2592,0.165,0.4352,0.3899,0.2442
EGF200  X6,EGF200,, X6,0.2936,0.0181,0.8752,1.1264,1.789,1.6864,1.0374,0.786,0.925,1.0951,0.5163,0.7402,0.6111,0.6129,1.2945,1.2177,0.2221,0.931,0.7838,0.8548,-0.1324,0.3355,1.1146,0.9009,0.3763,0.5537,1.0601,0.7603,0.8484,0.8509,1.0141,0.967,1.1094,0.9764,0.685,0.9097,0.4703,-0.0957,1.1094,0.543,0.6901,-0.1958,0.7893,1.3481,1.2957,0.4626,0.5084,0.6711,0.955,0.6994,0.994,-0.0324,1.0512,0.696,-0.0927,0.4272,0.9014,0.398,1.0483,0.9058,0.6091,-0.0228,1.2789,-0.0558,0.9,0.545,0.4248,0,0.0157,0.6537,1.0018,0.7499,0.8628,0.6742,1.0493,-0.0607,0.0927,0.6671,0.9769,-0.1263,0.0687,0.1616,0.4853,0.1272,0.7465,0.5169,0.0517,0.1073,0.6611,0.1577,0.1761,0.0285,0.3215,0.3007,0.0771,0,-0.0479,0.6442,0.0744,-0.0117,0.3816,1.0107,-0.0013,0.4037,-0.023,0.0792,0.1134,0.6155,0.1621,0.4478,0.1293,0.4025,0.3227,0.8236,0.1143,0.4042,0.2519,0.2968,0.8776,0.1067,0.2103,0.2263,0.0511,0.5023,0.1159,1.04,0.1559,0.8238,0.2689,0.1502,0.3605,0.1243,0.0023,0.9059,0.4649,0.0844,0.5188,0.2117,0.7416,0.3256,-0.0739,0.0275,0.4029,0.2481,0.2935,0.018,0.0795,0.1503,0.3387,0.0188,0.1284,0.8801,0.1309,0.5118,0.1064,0.081,0.3285,0.5409,0.469,0.4431,0.3118,0.2838,0.5297,0,0.2648,0.3984,0.5882,0.0435,0.361,0.2293,-0.1435,0.6671,0.4696,0.1761,0.6866,0.5163,0.6299,0.7818,0.2723,0.7312,0.5776,0.4673
EGF200 DPI X6,EGF200,DPI,DPI X6,0.3169,0.0377,0.7794,0.7031,1.7551,1.5385,1.0736,0.8069,0.7859,1.1502,0.4437,0.8666,0.589,0.758,1.227,1.0956,0.4722,0.8575,0.765,0.7986,0.0071,0.2694,1.1002,0.8809,0.4076,0.6211,1.0941,0.6891,0.7129,0.9215,1.027,0.9231,1.0158,0.9301,0.6423,0.8337,0.4212,-0.1062,1.014,0.5749,0.6759,-0.0199,0.8605,1.2197,1.3425,0.4858,0.4521,0.4851,0.7285,0.6335,0.8677,0.0826,1.0465,0.868,-0.1562,0.3948,0.7791,0.337,1.1223,0.8511,0.6753,0.0238,1.2913,0.015,0.7529,0.5499,0.3267,0,0.0611,0.6789,1.0301,0.6245,0.8467,0.6731,1.0925,0.0037,0.1186,0.674,0.7055,0.027,0.1041,0.1061,0.4899,0.0817,0.6408,0.4286,0.0873,0.2669,0.614,0.2279,0.1512,0.1511,0.3329,0.2935,0.0941,0,-0.066,0.6059,0.1364,0.0372,0.3708,0.9569,0.0014,0.3132,0.0271,0.2134,0.2544,0.5479,0.2525,0.4575,0.1653,0.4708,0.4301,0.7742,0.1774,0.2929,0.1713,0.2795,0.7477,0.0804,0.3231,0.3367,0.0451,0.5326,0.1423,0.9808,0.1132,0.752,0.4365,0.1286,0.4359,0.0064,0.1941,1.0988,0.6375,0.1495,0.4008,0.1543,0.6843,0.49,0.1451,0.1463,0.2753,0.3477,0.2172,0.077,0.0853,0.106,0.3276,0.1258,0.2014,0.8894,-0.0376,0.4766,0.0606,0.13,0.3753,0.5729,0.4774,0.5024,0.2754,0.2354,0.5018,0,0.3523,0.3139,0.6747,0.0434,0.2954,0.24,-0.0438,0.6166,0.4323,0.2043,0.6709,0.4368,0.5367,0.7249,0.2696,0.671,0.6337,0.3529
EGF200 PP2 X6,EGF200,PP2,PP2 X6,0.4429,0.0974,0.5069,0.7706,1.5715,1.3655,1.0241,0.614,0.4886,0.9836,0.4747,0.5142,0.4458,0.6425,1.04,0.8788,0.2584,0.7622,0.5885,0.6414,0.0234,0.1368,0.9618,0.4127,0.4244,0.5469,0.911,0.6259,0.5187,0.7736,0.8102,0.659,0.8512,0.7157,0.4949,0.633,0.3489,-0.0113,0.7839,0.386,0.4779,-0.1042,0.5051,1.0561,1.2359,0.2761,0.2652,0.5248,0.7891,0.6684,0.6882,0.111,0.69,0.7373,-0.2776,0.3206,0.6716,0.3641,1.0842,0.6505,0.5132,0.0802,1.0758,0.0056,0.54,0.4868,0.1564,0,-0.0176,0.451,0.7256,0.4097,0.6323,0.5806,0.8758,0.1044,0.0713,0.367,0.3957,-0.1774,0.0121,0.2964,0.4487,0.1728,0.3757,0.1592,0.2251,0.4116,0.5015,0.2556,0.1784,0.1875,0.4087,0.1126,0.0456,0,-0.1371,0.642,0.0625,-0.1024,0.0761,0.7241,0.1016,0.2734,-0.0192,0.2917,0.1988,0.341,0.2039,0.3541,0.1888,0.2957,0.5589,0.3984,0.1985,0.2053,0.4291,0.2672,0.543,0.0237,0.3732,0.3091,-0.0526,0.377,0.1267,0.7825,0.3295,0.5467,0.4282,0.0134,0.2383,-0.0644,0.244,0.5122,0.6332,0.0855,0.3654,0.3999,0.5651,0.3269,-0.1314,0.0828,0.1235,0.2671,0.1859,0.0456,0.2009,0.3065,0.2634,0.1788,0.1311,0.5938,0.1633,0.31,0.1179,0.0261,0.3356,0.418,0.3913,0.3847,0.1494,0.2246,0.5065,0,0.2821,0.1738,0.3703,0.1266,0.0909,0.1874,-0.0939,0.4496,0.3755,0.3355,0.4626,0.264,0.3488,0.3609,0.2754,0.4441,0.4067,0.2753
EGF200 EMBPTP1BI X6,EGF200,EMBPTP1BI,EMBPTP1BI X6,0.3012,0.036,0.4475,0.6457,1.7461,1.4075,0.9805,0.7405,0.887,1.1327,0.3807,0.6506,0.3933,0.5905,1.2135,0.971,0.4498,0.8418,0.7316,0.7524,0.1033,0.0656,1.1061,0.6428,0.3808,0.5779,0.9752,0.6605,0.7549,1.0004,1.0388,0.9416,0.8747,0.9402,0.5181,0.6982,0.3328,0.0559,0.7956,0.4425,0.7621,-0.0738,0.8609,1.1036,1.4023,0.2088,0.2537,0.6398,0.8498,0.8302,0.7659,0.1795,1.0631,0.817,-0.113,0.2131,0.876,0.386,1.1644,0.9099,0.4559,0.1371,1.1981,0.1138,0.5498,0.5061,0.2637,0,-0.0407,0.6048,0.9852,0.5914,0.7144,0.5959,1.0974,0.1349,0.2603,0.3968,0.6932,-0.041,0.0908,0.3377,0.3925,0.2302,0.7928,0.3549,0.2874,0.5032,0.6072,0.3268,0.3789,0.2619,0.4523,0.2294,0.0393,0,0.0078,0.6623,0.0604,-0.1026,0.3635,0.7254,0.2273,0.3124,0.089,0.4002,0.2564,0.4017,0.2382,0.419,0.2763,0.4035,0.6274,0.4762,0.2881,0.2099,0.5402,0.5008,0.8337,-0.1489,0.449,0.3758,-0.2151,0.4549,0.3179,0.7146,0.3784,0.6076,0.5202,0.2236,0.3027,-0.1986,0.3299,0.7082,0.7612,0.1967,0.2554,0.456,0.7367,0.4553,-0.0148,0.1328,0.2443,0.4205,0.1311,0.071,0.2722,0.3818,0.2678,0.3452,0.2234,0.8607,0.1286,0.1982,0.1684,0.0048,0.4853,0.404,0.4764,0.6253,0.089,0.1613,0.5471,0,0.4109,0.2496,0.6661,0.2093,0.1895,0.2362,-0.1088,0.5952,0.3933,0.5386,0.3711,0.3693,0.3066,0.5067,0.2511,0.3632,0.6245,0.3432
